"","team","season","pts_pct"
"615","BUF","1988-89",0.519
"616","BUF","1987-88",0.531
"617","BUF","1986-87",0.4
"618","BUF","1985-86",0.5
"619","BUF","1984-85",0.563
"620","BUF","1983-84",0.644
"621","BUF","1982-83",0.556
"622","BUF","1981-82",0.581
"623","BUF","1980-81",0.619
"624","BUF","1979-80",0.688
"625","BUF","1978-79",0.55
"626","BUF","1977-78",0.656
"627","BUF","1976-77",0.65
"628","BUF","1975-76",0.656
"629","BUF","1974-75",0.706
"630","BUF","1973-74",0.487
"631","BUF","1972-73",0.564
"632","BUF","1971-72",0.327
"633","MTL","2023-24",0.455
"634","MTL","2022-23",0.415
"635","MTL","2021-22",0.335
"636","MTL","2020-21",0.527
"637","MTL","2019-20",0.5
"638","MTL","2018-19",0.585
"639","MTL","2017-18",0.433
"640","MTL","2016-17",0.628
"641","MTL","2015-16",0.5
"642","MTL","2014-15",0.671
"643","MTL","2013-14",0.61
"644","MTL","2012-13",0.656
"645","MTL","2011-12",0.476
"646","MTL","2010-11",0.585
"647","MTL","2009-10",0.537
"648","MTL","2008-09",0.567
"649","MTL","2007-08",0.634
"650","MTL","2006-07",0.549
"651","MTL","2005-06",0.567
"652","MTL","2003-04",0.567
"653","MTL","2002-03",0.47
"654","MTL","2001-02",0.53
"655","MTL","2000-01",0.427
"656","MTL","1999-00",0.506
"657","MTL","1998-99",0.457
"658","MTL","1997-98",0.53
"659","MTL","1996-97",0.47
"660","MTL","1995-96",0.549
"661","MTL","1994-95",0.448
"662","MTL","1993-94",0.571
"663","MTL","1992-93",0.607
"664","MTL","1991-92",0.581
"665","MTL","1990-91",0.556
"666","MTL","1989-90",0.581
"667","MTL","1988-89",0.719
"668","MTL","1987-88",0.644
"669","MTL","1986-87",0.575
"670","MTL","1985-86",0.544
"671","MTL","1984-85",0.588
"672","MTL","1983-84",0.469
"673","MTL","1982-83",0.613
"674","MTL","1981-82",0.681
"675","MTL","1980-81",0.644
"676","MTL","1979-80",0.669
"677","MTL","1978-79",0.719
"678","MTL","1977-78",0.806
"679","MTL","1976-77",0.825
"680","MTL","1975-76",0.794
"681","MTL","1974-75",0.706
"682","MTL","1973-74",0.635
"683","MTL","1972-73",0.769
"684","MTL","1971-72",0.692
"685","OTT","2023-24",0.455
"686","OTT","2022-23",0.524
"687","OTT","2021-22",0.445
"688","OTT","2020-21",0.455
"689","OTT","2019-20",0.437
"690","OTT","2018-19",0.39
"691","OTT","2017-18",0.409
"692","OTT","2016-17",0.598
"693","OTT","2015-16",0.518
"694","OTT","2014-15",0.604
"695","OTT","2013-14",0.537
"696","OTT","2012-13",0.583
"697","OTT","2011-12",0.561
"698","OTT","2010-11",0.451
"699","OTT","2009-10",0.573
"700","OTT","2008-09",0.506
"701","OTT","2007-08",0.573
"702","OTT","2006-07",0.64
"703","OTT","2005-06",0.689
"704","OTT","2003-04",0.622
"705","OTT","2002-03",0.689
"706","OTT","2001-02",0.573
"707","OTT","2000-01",0.665
"708","OTT","1999-00",0.579
"709","OTT","1998-99",0.628
"710","OTT","1997-98",0.506
"711","OTT","1996-97",0.47
"712","OTT","1995-96",0.25
"713","OTT","1994-95",0.24
"714","OTT","1993-94",0.22
"715","OTT","1992-93",0.143
"716","DAL","2023-24",0.678
"717","DAL","2022-23",0.659
"718","DAL","2021-22",0.598
"719","DAL","2020-21",0.536
"720","DAL","2019-20",0.594
"721","DAL","2018-19",0.567
"722","DAL","2017-18",0.561
"723","DAL","2016-17",0.482
"724","DAL","2015-16",0.665
"725","DAL","2014-15",0.561
"726","DAL","2013-14",0.555
"727","DAL","2012-13",0.5
"728","DAL","2011-12",0.543
"729","DAL","2010-11",0.579
"730","DAL","2009-10",0.537
"731","DAL","2008-09",0.506
"732","DAL","2007-08",0.591
"733","DAL","2006-07",0.652
"734","DAL","2005-06",0.683
"735","DAL","2003-04",0.591
"736","DAL","2002-03",0.677
"737","DAL","2001-02",0.549
"738","DAL","2000-01",0.646
"739","DAL","1999-00",0.622
"740","DAL","1998-99",0.695
"741","DAL","1997-98",0.665
"742","DAL","1996-97",0.634
"743","DAL","1995-96",0.402
"744","DAL","1994-95",0.438
"745","DAL","1993-94",0.577
"746",NA,"1992-93",0.488
"747",NA,"1991-92",0.438
"748",NA,"1990-91",0.425
"749",NA,"1989-90",0.475
"750",NA,"1988-89",0.438
"751",NA,"1987-88",0.319
"752",NA,"1986-87",0.438
"753",NA,"1985-86",0.531
"754",NA,"1984-85",0.388
"755",NA,"1983-84",0.55
"756",NA,"1982-83",0.6
"757",NA,"1981-82",0.588
"758",NA,"1980-81",0.544
"759",NA,"1979-80",0.55
"760",NA,"1978-79",0.425
"761",NA,"1977-78",0.281
"762",NA,"1976-77",0.4
"763",NA,"1975-76",0.294
"764",NA,"1974-75",0.331
"765",NA,"1973-74",0.404
"766",NA,"1972-73",0.545
"767","COL","2023-24",0.674
"768","COL","2022-23",0.665
"769","COL","2021-22",0.726
"770","COL","2020-21",0.732
"771","COL","2019-20",0.657
"772","COL","2018-19",0.549
"773","COL","2017-18",0.579
"774","COL","2016-17",0.293
"775","COL","2015-16",0.5
"776","COL","2014-15",0.549
"777","COL","2013-14",0.683
"778","COL","2012-13",0.406
"779","COL","2011-12",0.537
"780","COL","2010-11",0.415
"781","COL","2009-10",0.579
"782","COL","2008-09",0.421
"783","COL","2007-08",0.579
"784","COL","2006-07",0.579
"785","COL","2005-06",0.579
"786","COL","2003-04",0.61
"787","COL","2002-03",0.64
"788","COL","2001-02",0.604
